name,address,street_address,city,state,zip_code,full_address,source,import_date,import_time
,"14915 W 84th St, Lenexa, KS 66215\",14915 W 84th St,Lenexa,KS,66215,"14915 W 84th St, Lenexa, KS 66215\",Google Maps Agent - Google Maps List,2025-07-22,22:05:00
,8427 Greenwood Cir\,8427 Greenwood Cir\,,,,8427 Greenwood Cir\,Google Maps Agent - Google Maps List,2025-07-22,22:05:00
,14624 W 83rd Terrace\,14624 W 83rd Terrace\,,,,14624 W 83rd Terrace\,Google Maps Agent - Google Maps List,2025-07-22,22:05:00
,14237 W 84th Terrace\,14237 W 84th Terrace\,,,,14237 W 84th Terrace\,Google Maps Agent - Google Maps List,2025-07-22,22:05:00
,8412 Acuff Ln\,8412 Acuff Ln\,,,,8412 Acuff Ln\,Google Maps Agent - Google Maps List,2025-07-22,22:05:00
,"14612 W 83rd Terrace, Lenexa, KS 66215\",14612 W 83rd Terrace,Lenexa,KS,66215,"14612 W 83rd Terrace, Lenexa, KS 66215\",Google Maps Agent - Google Maps List,2025-07-22,22:05:00
,"14241 W 84th Terrace, Lenexa, KS 66215\",14241 W 84th Terrace,Lenexa,KS,66215,"14241 W 84th Terrace, Lenexa, KS 66215\",Google Maps Agent - Google Maps List,2025-07-22,22:05:00
,8445 Hallet St\,8445 Hallet St\,,,,8445 Hallet St\,Google Maps Agent - Google Maps List,2025-07-22,22:05:00
,8349 Mullen Rd\,8349 Mullen Rd\,,,,8349 Mullen Rd\,Google Maps Agent - Google Maps List,2025-07-22,22:05:00
,"8355 Oakview Cir, Lenexa, KS 66215\",8355 Oakview Cir,Lenexa,KS,66215,"8355 Oakview Cir, Lenexa, KS 66215\",Google Maps Agent - Google Maps List,2025-07-22,22:05:00
,8342 Greenwood Cir\,8342 Greenwood Cir\,,,,8342 Greenwood Cir\,Google Maps Agent - Google Maps List,2025-07-22,22:05:00
,8546 S Oakview Dr\,8546 S Oakview Dr\,,,,8546 S Oakview Dr\,Google Maps Agent - Google Maps List,2025-07-22,22:05:00
,"8625 S Oakview Dr, Lenexa, KS 66215\",8625 S Oakview Dr,Lenexa,KS,66215,"8625 S Oakview Dr, Lenexa, KS 66215\",Google Maps Agent - Google Maps List,2025-07-22,22:05:00
,"14500 W 86th St, Lenexa, KS 66215\",14500 W 86th St,Lenexa,KS,66215,"14500 W 86th St, Lenexa, KS 66215\",Google Maps Agent - Google Maps List,2025-07-22,22:05:00
